District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
동구,168412,124982,57972,46.75,55172,44.49,9574,7.72,1085,0.87,180,0.14,0,0,0.0
중구,166188,125663,56815,45.55,57565,46.15,9044,7.25,1135,0.91,149,0.11,0,0,0.0
서구,230743,185553,93176,50.62,72192,39.22,16620,9.02,1898,1.03,172,0.09,0,0,0.0
유성구,168287,141948,74434,52.82,49113,34.85,15689,11.13,1558,1.1,121,0.08,0,0,0.0
대덕구,106706,83076,40864,49.55,34308,41.6,6401,7.76,790,0.95,94,0.11,0,0,0.0
