District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
동구,74884,60146,49066,82.07,6421,10.74,3708,6.2,540,0.9,49,0.08,0,0,0.0
서구,199271,160445,135395,84.82,14179,8.88,8638,5.41,1277,0.8,132,0.08,0,0,0.0
남구,144912,117722,99641,85.05,10514,8.97,5975,5.1,923,0.78,100,0.08,0,0,0.0
북구,293231,236639,200249,85.07,19489,8.27,13284,5.64,2130,0.9,228,0.09,0,0,0.0
광산구,279408,227171,193379,85.62,17213,7.62,12994,5.75,2022,0.89,232,0.1,0,0,0.0
