District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
종로구,79191,63047,33437,53.43,22577,36.08,5459,8.72,1042,1.66,57,0.09,0,0,0.0
중구,85601,65417,29771,45.9,28302,43.63,5924,9.13,812,1.25,47,0.07,0,0,0.0
용산구,135639,104890,43879,42.15,48933,47.01,9631,9.25,1566,1.5,73,0.07,0,0,0.0
성동구,173801,138279,62866,45.79,59466,43.31,13254,9.65,1564,1.13,122,0.08,0,0,0.0
광진구,175790,119659,42000,35.41,62369,52.59,12609,10.63,1491,1.25,125,0.1,0,0,0.0
동대문구,74543,64604,35941,56.03,21826,34.02,5645,8.8,673,1.04,56,0.08,0,0,0.0
중랑구,187748,152421,81706,53.96,56338,37.21,11766,7.77,1447,0.95,146,0.09,0,0,0.0
성북구,170961,140987,75538,53.98,49304,35.23,12989,9.28,1989,1.42,107,0.07,0,0,0.0
강북구,94355,81771,49582,61.01,25170,30.97,5590,6.87,855,1.05,70,0.08,0,0,0.0
도봉구,217501,161086,75069,46.93,70936,44.34,12044,7.52,1772,1.1,138,0.08,0,0,0.0
노원구,194820,165066,90939,55.46,56067,34.19,14953,9.12,1877,1.14,122,0.07,0,0,0.0
은평구,147313,117891,63096,53.96,42771,36.58,9234,7.89,1705,1.45,113,0.09,0,0,0.0
서대문구,171189,132991,64914,49.18,53170,40.28,11612,8.79,2176,1.64,112,0.08,0,0,0.0
마포구,225276,181825,87438,48.48,71339,39.55,17948,9.95,3487,1.93,143,0.07,0,0,0.0
양천구,217924,177221,85467,48.51,73931,41.96,14633,8.3,1957,1.11,166,0.09,0,0,0.0
강서구,172553,147979,81176,55.28,50828,34.61,13016,8.86,1667,1.13,150,0.1,0,0,0.0
구로구,187308,147314,71752,49.06,60807,41.58,11884,8.12,1648,1.12,149,0.1,0,0,0.0
금천구,105599,86374,48118,56.17,28877,33.71,7700,8.98,876,1.02,92,0.1,0,0,0.0
영등포구,121770,101590,50590,50.21,38898,38.61,9877,9.8,1287,1.27,91,0.09,0,0,0.0
동작구,66014,55057,27535,50.41,21151,38.72,5239,9.59,642,1.17,51,0.09,0,0,0.0
관악구,134908,117817,66205,56.71,35896,30.75,12906,11.05,1604,1.37,116,0.09,0,0,0.0
서초구,227811,184822,65566,35.69,98607,53.68,17288,9.41,2092,1.13,115,0.06,0,0,0.0
강남구,166731,137010,50867,37.35,70802,51.99,13147,9.65,1289,0.94,76,0.05,0,0,0.0
송파구,366992,293381,120442,41.35,140303,48.16,27355,9.39,2936,1.0,237,0.08,0,0,0.0
강동구,123008,103642,49287,47.87,43352,42.11,9208,8.94,1008,0.97,87,0.08,0,0,0.0
