District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,133273,97757,49669,51.16,37444,38.57,8965,9.23,902,0.92,94,0.09,0,0,0.0
동구,49493,39257,19352,49.67,16275,41.77,2789,7.15,481,1.23,63,0.16,0,0,0.0
미추홀구,334408,240873,116828,48.85,100504,42.03,19163,8.01,2359,0.98,270,0.11,0,0,0.0
연수구,301683,237830,111345,47.09,100534,42.52,22008,9.3,2356,0.99,177,0.07,0,0,0.0
남동구,271755,208338,107856,52.11,81333,39.3,15510,7.49,2033,0.98,214,0.1,0,0,0.0
부평구,375257,281988,143415,51.22,110509,39.47,22713,8.11,3019,1.07,294,0.1,0,0,0.0
계양구,133184,108210,62666,58.31,36043,33.54,7641,7.11,1021,0.95,85,0.07,0,0,0.0
서구,347725,253098,127124,50.55,99895,39.72,21677,8.62,2490,0.99,266,0.1,0,0,0.0
강화군,63399,48634,19095,39.51,26323,54.46,2497,5.16,367,0.75,47,0.09,0,0,0.0
옹진군,18554,14603,5369,37.24,7816,54.22,1102,7.64,104,0.72,23,0.15,0,0,0.0
