District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
서울특별시,1289889,965540,393529,41.06,465869,48.6,86620,9.03,11540,1.2,844,0.08,0,0,0.0
부산광역시,801367,639276,262683,41.35,322488,50.77,44425,6.99,4945,0.77,579,0.09,0,0,0.0
대구광역시,715676,550470,108967,19.92,394482,72.11,39289,7.18,3820,0.69,454,0.08,0,0,0.0
인천광역시,250556,191434,93233,49.05,79942,42.06,14870,7.82,1820,0.95,186,0.09,0,0,0.0
광주광역시,382142,277999,225965,81.77,29785,10.77,17467,6.32,2785,1.0,307,0.11,0,0,0.0
대전광역시,253890,192722,91600,47.91,82071,42.92,15503,8.1,1781,0.93,222,0.11,0,0,0.0
울산광역시,138465,122308,61023,50.23,49870,41.05,8959,7.37,1478,1.21,136,0.11,0,0,0.0
세종특별자치시,43087,31961,15225,48.01,12653,39.9,3374,10.64,428,1.34,29,0.09,0,0,0.0
경기도,2573120,1872406,854687,45.95,832724,44.77,153590,8.25,17097,0.91,1692,0.09,0,0,0.0
강원특별자치도,317461,257595,116338,45.49,119421,46.69,17508,6.84,2183,0.85,286,0.11,0,0,0.0
충청북도,309870,260272,128328,49.68,110649,42.84,16677,6.45,2310,0.89,306,0.11,0,0,0.0
충청남도,344286,295685,154489,52.64,117994,40.2,18146,6.18,2506,0.85,334,0.11,0,0,0.0
전북특별자치도,365622,307426,257347,84.3,32090,10.51,12804,4.19,2439,0.79,579,0.18,0,0,0.0
전라남도,472053,376012,325648,87.26,31882,8.54,12239,3.27,2574,0.68,845,0.22,0,0,0.0
경상북도,436001,394664,115173,29.45,250002,63.92,22640,5.78,2830,0.72,416,0.1,0,0,0.0
경상남도,454767,403044,177931,44.51,193504,48.41,24062,6.02,3693,0.92,488,0.12,0,0,0.0
제주특별자치도,110496,71601,33754,47.58,30863,43.5,5252,7.4,979,1.38,93,0.13,0,0,0.0
