District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
종로구,45835,39302,23368,59.83,11962,30.62,3079,7.88,609,1.55,36,0.09,0,0,0.0
중구,57437,44406,20968,47.63,18441,41.89,4030,9.15,552,1.25,30,0.06,0,0,0.0
용산구,127323,99417,42491,43.07,45464,46.08,9140,9.26,1487,1.5,68,0.06,0,0,0.0
성동구,112645,94979,48063,50.98,36151,38.34,8957,9.5,1018,1.07,89,0.09,0,0,0.0
광진구,122510,82614,29117,35.56,42913,52.41,8731,10.66,1028,1.25,89,0.1,0,0,0.0
동대문구,30164,26252,14680,56.37,8638,33.17,2416,9.27,286,1.09,21,0.08,0,0,0.0
중랑구,123426,101633,54918,54.38,37378,37.01,7634,7.56,953,0.94,88,0.08,0,0,0.0
성북구,142580,119681,65919,55.48,40525,34.11,10620,8.93,1656,1.39,84,0.07,0,0,0.0
강북구,7616,6652,4321,65.32,1788,27.02,430,6.5,67,1.01,9,0.13,0,0,0.0
도봉구,169778,114999,45287,39.67,58163,50.95,9291,8.13,1297,1.13,108,0.09,0,0,0.0
노원구,68304,62220,37923,61.32,17892,28.93,5341,8.63,639,1.03,48,0.07,0,0,0.0
은평구,47928,39963,22595,57.03,13413,33.85,3027,7.64,542,1.36,40,0.1,0,0,0.0
서대문구,120486,94722,47762,50.79,36746,39.08,7877,8.37,1550,1.64,86,0.09,0,0,0.0
마포구,120029,101778,52967,52.46,36092,35.74,9945,9.85,1890,1.87,68,0.06,0,0,0.0
양천구,187577,150715,71595,47.79,64029,42.74,12390,8.27,1635,1.09,152,0.1,0,0,0.0
강서구,74973,68573,40427,59.39,20847,30.62,5996,8.8,726,1.06,70,0.1,0,0,0.0
구로구,137883,109586,54199,49.8,44981,41.33,8340,7.66,1196,1.09,96,0.08,0,0,0.0
금천구,66438,53691,29311,55.05,18170,34.12,5119,9.61,577,1.08,61,0.11,0,0,0.0
영등포구,85897,68601,32254,47.4,28822,42.35,6130,9.0,780,1.14,59,0.08,0,0,0.0
동작구,44255,35387,16540,47.12,14663,41.77,3459,9.85,406,1.15,29,0.08,0,0,0.0
관악구,48463,44901,27193,61.15,11787,26.5,4788,10.76,659,1.48,42,0.09,0,0,0.0
서초구,126791,107198,39185,36.76,56235,52.76,9906,9.29,1200,1.12,57,0.05,0,0,0.0
강남구,140278,117579,44444,38.02,59926,51.26,11353,9.71,1108,0.94,61,0.05,0,0,0.0
송파구,232971,180961,69536,38.69,91499,50.92,16656,9.26,1835,1.02,162,0.09,0,0,0.0
강동구,105263,85897,37721,44.22,38887,45.58,7768,9.1,856,1.0,69,0.08,0,0,0.0
