District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,26241,19180,7100,37.29,10596,55.66,1200,6.3,120,0.63,21,0.11,0,0,0.0
서구,63096,48875,18427,37.99,26526,54.69,3122,6.43,379,0.78,45,0.09,0,0,0.0
동구,64439,48534,17957,37.25,26785,55.56,3079,6.38,330,0.68,54,0.11,0,0,0.0
영도구,74946,55583,23504,42.55,28445,51.5,2871,5.19,363,0.65,49,0.08,0,0,0.0
부산진구,247668,188823,73861,39.4,98020,52.29,13913,7.42,1487,0.79,172,0.09,0,0,0.0
동래구,174295,137390,51961,38.04,73671,53.94,9678,7.08,1156,0.84,97,0.07,0,0,0.0
남구,155902,124006,49113,39.85,63983,51.91,9088,7.37,953,0.77,100,0.08,0,0,0.0
북구,156347,125797,53671,42.94,61530,49.22,8639,6.91,1020,0.81,125,0.1,0,0,0.0
해운대구,111684,93087,39880,43.1,45637,49.32,6229,6.73,689,0.74,90,0.09,0,0,0.0
기장군,90302,66777,26653,40.16,34769,52.39,4380,6.6,498,0.75,57,0.08,0,0,0.0
사하구,130974,106083,47994,45.51,50217,47.61,6373,6.04,777,0.73,97,0.09,0,0,0.0
금정구,146118,107733,33748,31.51,64773,60.48,7608,7.1,888,0.82,80,0.07,0,0,0.0
강서구,76699,60589,28427,47.19,26611,44.17,4682,7.77,470,0.78,49,0.08,0,0,0.0
연제구,149437,116073,44016,38.17,62091,53.84,8156,7.07,945,0.81,107,0.09,0,0,0.0
수영구,107157,82364,30720,37.57,44418,54.33,5843,7.14,707,0.86,62,0.07,0,0,0.0
사상구,105449,81256,33821,41.9,40754,50.48,5407,6.69,630,0.78,105,0.13,0,0,0.0
