District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
동구,194244,148238,70915,48.23,62048,42.2,12499,8.5,1322,0.89,229,0.15,0,0,0.0
중구,196407,152894,71677,47.26,65844,43.41,12510,8.24,1428,0.94,189,0.12,0,0,0.0
서구,396043,310476,148719,48.3,124865,40.55,30731,9.98,3264,1.06,313,0.1,0,0,0.0
유성구,307342,251223,123402,49.51,93434,37.49,29350,11.77,2806,1.12,227,0.09,0,0,0.0
대덕구,147846,114777,55607,48.84,47358,41.6,9634,8.46,1085,0.95,151,0.13,0,0,0.0
