District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
청주시상당구,107090,84099,40015,47.9,36658,43.88,5958,7.13,816,0.97,81,0.09,0,0,0.0
청주시서원구,104826,81876,38735,47.63,34825,42.82,6781,8.33,883,1.08,90,0.11,0,0,0.0
청주시흥덕구,65008,56093,30962,55.62,18946,34.03,5159,9.26,538,0.96,60,0.1,0,0,0.0
청주시청원구,76938,59975,31218,52.41,22329,37.49,5386,9.04,554,0.93,71,0.11,0,0,0.0
충주시,72799,59565,28209,47.66,26315,44.46,4149,7.01,449,0.75,58,0.09,0,0,0.0
제천시,41853,36728,18630,51.13,15274,41.92,2201,6.04,293,0.8,38,0.1,0,0,0.0
단양군,16267,13426,5322,39.9,7302,54.74,634,4.75,71,0.53,8,0.05,0,0,0.0
영동군,36322,27592,10760,39.32,14974,54.72,1367,4.99,236,0.86,27,0.09,0,0,0.0
보은군,24282,18874,7734,41.32,9915,52.98,881,4.7,154,0.82,29,0.15,0,0,0.0
옥천군,36920,28600,12428,43.84,14034,49.5,1570,5.53,262,0.92,52,0.18,0,0,0.0
음성군,65794,48258,23157,48.35,21519,44.93,2771,5.78,384,0.8,61,0.12,0,0,0.0
진천군,58265,43648,22870,52.75,17003,39.21,3016,6.95,399,0.92,67,0.15,0,0,0.0
괴산군,25310,20107,8230,41.27,10638,53.34,874,4.38,174,0.87,25,0.12,0,0,0.0
증평군,31928,23995,11385,47.85,10290,43.24,1854,7.79,222,0.93,41,0.17,0,0,0.0
