District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
서울특별시,1753333,1376499,618722,45.27,607836,44.48,122362,8.95,16431,1.2,1176,0.08,0,0,0.0
부산광역시,1128593,893011,361197,40.71,456474,51.45,61825,6.96,6905,0.77,807,0.09,0,0,0.0
대구광역시,934075,715570,140925,19.81,513020,72.13,51594,7.25,5067,0.71,575,0.08,0,0,0.0
인천광역시,412825,313768,154731,49.66,129102,41.43,24442,7.84,3002,0.96,301,0.09,0,0,0.0
광주광역시,471922,357575,295587,83.14,34980,9.83,21192,5.96,3386,0.95,368,0.1,0,0,0.0
대전광역시,366768,290624,144945,50.27,116185,40.29,24174,8.38,2693,0.93,327,0.11,0,0,0.0
울산광역시,237553,202264,94150,46.88,88884,44.26,15045,7.49,2486,1.23,254,0.12,0,0,0.0
세종특별자치시,55789,43929,22433,51.47,16294,37.38,4268,9.79,542,1.24,42,0.09,0,0,0.0
경기도,3399307,2528297,1198681,47.72,1084251,43.17,203646,8.1,22656,0.9,2224,0.08,0,0,0.0
강원특별자치도,466435,374900,166785,44.81,175767,47.22,25967,6.97,3249,0.87,405,0.1,0,0,0.0
충청북도,462074,375401,182319,48.93,161001,43.21,25456,6.83,3353,0.89,455,0.12,0,0,0.0
충청남도,539646,442974,225803,51.35,181386,41.25,28205,6.41,3831,0.87,490,0.11,0,0,0.0
전북특별자치도,476847,402431,337178,84.35,41858,10.47,16788,4.2,3147,0.78,724,0.18,0,0,0.0
전라남도,598762,469883,404606,86.74,41468,8.89,16096,3.45,3238,0.69,1029,0.22,0,0,0.0
경상북도,672800,584564,166325,28.69,374107,64.55,34240,5.9,4282,0.73,589,0.1,0,0,0.0
경상남도,687697,593746,259326,44.03,286249,48.61,37029,6.28,5538,0.94,709,0.12,0,0,0.0
제주특별자치도,132923,87973,42693,48.97,36604,41.98,6572,7.53,1197,1.37,115,0.13,0,0,0.0
