District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,85181,68687,16317,23.92,44323,64.98,6934,10.16,580,0.85,52,0.07,0,0,0.0
동구,260576,205213,46598,22.85,140484,68.91,15119,7.41,1474,0.72,172,0.08,0,0,0.0
서구,147381,114567,21840,19.19,83588,73.47,7554,6.63,674,0.59,115,0.1,0,0,0.0
남구,125079,96240,20940,21.91,66687,69.8,7096,7.42,730,0.76,82,0.08,0,0,0.0
북구,326659,255708,57395,22.59,174353,68.63,20045,7.89,2003,0.78,229,0.09,0,0,0.0
수성구,291156,229860,46273,20.23,162154,70.89,18422,8.05,1723,0.75,149,0.06,0,0,0.0
달서구,343163,255835,44616,17.54,189247,74.4,18512,7.27,1783,0.7,187,0.07,0,0,0.0
달성군,194072,149901,36331,24.39,100269,67.31,11107,7.45,1117,0.74,124,0.08,0,0,0.0
군위군,21402,17745,2616,14.84,14246,80.83,674,3.82,74,0.41,14,0.07,0,0,0.0
