District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
서울특별시,3928493,3168642,1523020,48.41,1298157,41.27,283079,8.99,38495,1.22,2700,0.08,0,0,0.0
부산광역시,1910709,1483081,586815,39.82,772285,52.41,101478,6.88,11568,0.78,1332,0.09,0,0,0.0
대구광역시,1332712,1015414,197989,19.61,729742,72.3,73504,7.28,7151,0.7,814,0.08,0,0,0.0
인천광역시,922223,715610,368248,51.81,279867,39.37,55126,7.75,6820,0.95,676,0.09,0,0,0.0
광주광역시,803519,648253,547201,84.87,54640,8.47,36629,5.68,5643,0.87,612,0.09,0,0,0.0
대전광역시,791884,627728,310294,49.81,251210,40.32,54635,8.77,6103,0.97,677,0.1,0,0,0.0
울산광역시,604987,485797,206544,42.8,233271,48.34,36448,7.55,5623,1.16,582,0.12,0,0,0.0
세종특별자치시,144877,119429,65899,55.58,39779,33.55,11307,9.53,1461,1.23,112,0.09,0,0,0.0
경기도,6283313,4833956,2421281,50.41,1947160,40.54,387516,8.06,42637,0.88,4231,0.08,0,0,0.0
강원특별자치도,886955,695215,302967,43.9,332892,48.23,47499,6.88,6016,0.87,751,0.1,0,0,0.0
충청북도,896546,702830,336927,48.29,303008,43.42,50571,7.24,6397,0.91,802,0.11,0,0,0.0
충청남도,1204974,906800,425534,47.26,404030,44.87,61746,6.85,7985,0.88,963,0.1,0,0,0.0
전북특별자치도,931603,762150,634989,83.85,81472,10.75,33601,4.43,5978,0.78,1197,0.15,0,0,0.0
전라남도,970704,760230,648799,85.93,70511,9.33,28860,3.82,5372,0.71,1485,0.19,0,0,0.0
경상북도,1347679,1086494,282482,26.2,722859,67.05,63426,5.88,8084,0.74,1097,0.1,0,0,0.0
경상남도,1530591,1217139,481140,39.85,635401,52.63,77579,6.42,11603,0.96,1455,0.12,0,0,0.0
제주특별자치도,223763,169654,94552,56.21,58732,34.91,12427,7.38,2304,1.36,190,0.11,0,0,0.0
