District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
수원시장안구,31493,27494,15870,58.04,9265,33.88,1963,7.18,217,0.79,24,0.08,0,0,0.0
수원시권선구,185124,135604,65503,48.64,55804,41.44,11940,8.86,1288,0.95,120,0.08,0,0,0.0
수원시팔달구,113081,78286,32076,41.28,37333,48.05,7440,9.57,745,0.95,93,0.11,0,0,0.0
수원시영통구,159138,119373,49582,41.83,53716,45.32,13895,11.72,1218,1.02,114,0.09,0,0,0.0
성남시수정구,46635,42565,27321,64.55,11630,27.48,3058,7.22,290,0.68,21,0.04,0,0,0.0
성남시중원구,118374,92080,52511,57.39,32142,35.13,6068,6.63,679,0.74,85,0.09,0,0,0.0
성남시분당구,195639,158697,64567,40.93,76780,48.67,14849,9.41,1449,0.91,92,0.05,0,0,0.0
의정부시,120847,77162,33686,43.98,36082,47.1,5994,7.82,762,0.99,68,0.08,0,0,0.0
안양시만안구,97785,70604,30995,44.21,32564,46.45,5878,8.38,604,0.86,57,0.08,0,0,0.0
안양시동안구,85975,75886,40582,53.81,27238,36.11,6754,8.95,786,1.04,56,0.07,0,0,0.0
부천시원미구,153475,127134,70285,55.67,44631,35.35,9980,7.9,1255,0.99,99,0.07,0,0,0.0
부천시소사구,107498,78854,36527,46.63,35090,44.8,5795,7.39,848,1.08,63,0.08,0,0,0.0
부천시오정구,99088,72666,39566,54.76,26995,37.36,4947,6.84,652,0.9,91,0.12,0,0,0.0
광명시,112126,95353,53041,55.96,33021,34.83,7705,8.12,952,1.0,62,0.06,0,0,0.0
평택시,188966,136322,67070,49.53,56056,41.4,11057,8.16,1061,0.78,151,0.11,0,0,0.0
양주시,54799,38881,18196,47.11,17809,46.1,2321,6.0,251,0.64,47,0.12,0,0,0.0
동두천시,20257,11974,4633,38.98,6498,54.67,657,5.52,81,0.68,15,0.12,0,0,0.0
안산시상록구,204215,153616,86474,56.68,52627,34.49,11986,7.85,1314,0.86,164,0.1,0,0,0.0
안산시단원구,164486,118865,61546,52.15,45423,38.49,9773,8.28,1102,0.93,151,0.12,0,0,0.0
고양시덕양구,190369,144350,70728,49.31,59643,41.58,11423,7.96,1529,1.06,100,0.06,0,0,0.0
고양시일산동구,98212,74609,37110,50.08,30207,40.76,5963,8.04,756,1.02,59,0.07,0,0,0.0
고양시일산서구,146663,117829,62211,53.11,45023,38.43,8596,7.33,1227,1.04,78,0.06,0,0,0.0
과천시,23330,20800,10173,49.19,8393,40.58,1844,8.91,259,1.25,12,0.05,0,0,0.0
의왕시,65238,54298,26708,49.46,22526,41.71,4228,7.83,489,0.9,44,0.08,0,0,0.0
구리시,51652,45955,26695,58.44,15040,32.92,3535,7.73,381,0.83,25,0.05,0,0,0.0
남양주시,231367,168838,79463,47.35,74915,44.64,11800,7.03,1470,0.87,152,0.09,0,0,0.0
오산시,66252,52757,30880,58.96,16235,31.0,4741,9.05,458,0.87,53,0.1,0,0,0.0
화성시갑,132144,94632,47558,50.56,37627,40.0,7985,8.49,781,0.83,99,0.1,0,0,0.0
화성시을,132482,106434,53249,50.33,37804,35.73,13689,12.94,968,0.91,75,0.07,0,0,0.0
시흥시,54057,49979,33457,67.33,11765,23.67,4043,8.13,388,0.78,38,0.07,0,0,0.0
군포시,67826,54997,30327,55.51,19398,35.5,4331,7.92,528,0.96,45,0.08,0,0,0.0
하남시,164367,132677,68107,51.63,52015,39.43,10557,8.0,1128,0.85,86,0.06,0,0,0.0
파주시,102420,77905,42331,54.69,29288,37.84,5101,6.59,620,0.8,54,0.06,0,0,0.0
여주시,68998,48879,19853,40.88,25637,52.79,2618,5.39,393,0.8,55,0.11,0,0,0.0
이천시,48017,41914,22090,53.14,16208,38.99,2894,6.96,309,0.74,67,0.16,0,0,0.0
용인시처인구,138548,108702,55916,51.77,42900,39.72,8199,7.59,869,0.8,117,0.1,0,0,0.0
용인시수지구,154672,119459,47010,39.57,59708,50.26,10864,9.14,1119,0.94,83,0.06,0,0,0.0
용인시기흥구,77463,59723,29235,49.25,24535,41.33,5049,8.5,482,0.81,50,0.08,0,0,0.0
안성시,79271,57302,25959,45.62,26794,47.09,3699,6.5,390,0.68,56,0.09,0,0,0.0
김포시,112390,78422,35483,45.5,35633,45.7,6155,7.89,637,0.81,60,0.07,0,0,0.0
광주시,215264,142370,63937,45.17,67110,47.41,9318,6.58,1062,0.75,111,0.07,0,0,0.0
포천시,68260,50832,22442,44.49,24674,48.91,2944,5.83,330,0.65,52,0.1,0,0,0.0
연천군,18281,15394,7021,45.99,7130,46.7,971,6.36,124,0.81,20,0.13,0,0,0.0
양평군,61244,46136,18953,41.34,24236,52.87,2228,4.86,383,0.83,38,0.08,0,0,0.0
가평군,33398,26876,11717,43.93,13246,49.66,1477,5.53,210,0.78,20,0.07,0,0,0.0
