District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
서울특별시,8293885,6641606,3105459,47.13,2738405,41.55,655346,9.94,83900,1.27,5998,0.09,0,0,0.0
부산광역시,2865552,2245755,895213,40.14,1146238,51.39,168473,7.55,18189,0.81,2099,0.09,0,0,0.0
대구광역시,2049078,1643051,379130,23.22,1103913,67.62,135376,8.29,12531,0.76,1362,0.08,0,0,0.0
인천광역시,2619348,2035355,1044295,51.67,776952,38.44,176739,8.74,20743,1.02,2098,0.1,0,0,0.0
광주광역시,1194471,1002149,844682,84.77,79937,8.02,62104,6.23,8767,0.87,934,0.09,0,0,0.0
대전광역시,1241882,977609,470321,48.5,393549,40.58,94724,9.76,9905,1.02,1109,0.11,0,0,0.0
울산광역시,934509,747950,315820,42.54,353180,47.57,63177,8.51,9299,1.25,899,0.12,0,0,0.0
세종특별자치시,307067,254695,140620,55.62,83965,33.21,25004,9.89,2961,1.17,235,0.09,0,0,0.0
경기도,11715343,9297448,4821148,52.2,3504620,37.95,816435,8.84,84074,0.91,8356,0.09,0,0,0.0
강원특별자치도,1327019,1029407,449161,43.95,483360,47.3,78704,7.7,9422,0.92,1137,0.11,0,0,0.0
충청북도,1379142,1065558,501990,47.47,457065,43.22,86984,8.22,10169,0.96,1228,0.11,0,0,0.0
충청남도,1839339,1397521,661316,47.68,600108,43.26,111092,8.0,12893,0.92,1519,0.1,0,0,0.0
전북특별자치도,1510908,1246099,1023272,82.65,134996,10.9,67961,5.48,10061,0.81,1719,0.13,0,0,0.0
전라남도,1559431,1303365,1111941,85.87,110624,8.54,60822,4.69,9352,0.72,2104,0.16,0,0,0.0
경상북도,2213614,1747364,442683,25.52,1159594,66.87,116094,6.69,13884,0.8,1788,0.1,0,0,0.0
경상남도,2776028,2179989,851733,39.4,1123843,51.99,161579,7.47,21809,1.0,2678,0.12,0,0,0.0
제주특별자치도,565255,421576,228729,54.76,145290,34.78,36909,8.83,6191,1.48,528,0.12,0,0,0.0
