District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,101852,82108,33995,41.7,40664,49.88,5865,7.19,907,1.11,91,0.11,0,0,0.0
남구,36949,32930,15175,46.41,14586,44.61,2526,7.72,364,1.11,40,0.12,0,0,0.0
동구,24540,22702,13190,58.47,7511,33.29,1475,6.53,353,1.56,29,0.12,0,0,0.0
북구,52690,42584,20369,48.15,17494,41.35,3691,8.72,695,1.64,48,0.11,0,0,0.0
울주군,84208,69152,28704,41.82,34193,49.81,4932,7.18,713,1.03,93,0.13,0,0,0.0
