District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,85181,68687,16317,23.92,44323,64.98,6934,10.16,580,0.85,52,0.07,481,16494,100.0
동구,300119,240878,57694,24.11,160000,66.88,19509,8.15,1812,0.75,208,0.08,1655,59241,100.0
서구,147381,114567,21840,19.19,83588,73.47,7554,6.63,674,0.59,115,0.1,796,32814,100.0
남구,125079,96240,20940,21.91,66687,69.8,7096,7.42,730,0.76,82,0.08,705,28839,100.0
북구,358624,287673,68670,24.03,189776,66.43,24603,8.61,2359,0.82,266,0.09,1999,70951,100.0
수성구,346438,284576,65324,23.08,189622,66.99,25604,9.04,2265,0.8,203,0.07,1558,61862,100.0
달서구,452664,364667,83001,22.9,246446,68.01,29887,8.24,2750,0.75,280,0.07,2303,87997,100.0
달성군,212190,168018,42728,25.6,109225,65.44,13515,8.09,1287,0.77,142,0.08,1121,44172,100.0
군위군,21402,17745,2616,14.84,14246,80.83,674,3.82,74,0.41,14,0.07,121,3657,100.0
