District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
수원시장안구,40995,33727,18345,54.72,12433,37.09,2442,7.28,274,0.81,27,0.08,0,0,0.0
수원시권선구,190889,141369,69319,49.37,57169,40.72,12429,8.85,1339,0.95,123,0.08,0,0,0.0
수원시팔달구,120881,86086,37295,43.64,39241,45.92,7995,9.35,816,0.95,105,0.12,0,0,0.0
수원시영통구,162295,121757,50617,41.87,54782,45.31,14133,11.69,1238,1.02,117,0.09,0,0,0.0
성남시수정구,46635,42565,27321,64.55,11630,27.48,3058,7.22,290,0.68,21,0.04,0,0,0.0
성남시중원구,118374,92080,52511,57.39,32142,35.13,6068,6.63,679,0.74,85,0.09,0,0,0.0
성남시분당구,210376,172275,71996,42.04,81509,47.59,16038,9.36,1605,0.93,97,0.05,0,0,0.0
의정부시,120847,77162,33686,43.98,36082,47.1,5994,7.82,762,0.99,68,0.08,0,0,0.0
안양시만안구,97785,70604,30995,44.21,32564,46.45,5878,8.38,604,0.86,57,0.08,0,0,0.0
안양시동안구,95369,85280,46840,55.26,29375,34.65,7612,8.98,872,1.02,60,0.07,0,0,0.0
부천시원미구,153475,127134,70285,55.67,44631,35.35,9980,7.9,1255,0.99,99,0.07,0,0,0.0
부천시소사구,107498,78854,36527,46.63,35090,44.8,5795,7.39,848,1.08,63,0.08,0,0,0.0
부천시오정구,105518,76808,41414,54.22,28924,37.87,5247,6.87,688,0.9,101,0.13,0,0,0.0
광명시,112126,95353,53041,55.96,33021,34.83,7705,8.12,952,1.0,62,0.06,0,0,0.0
평택시,213025,158546,80336,51.01,62443,39.65,13293,8.44,1228,0.77,172,0.1,0,0,0.0
양주시,54799,38881,18196,47.11,17809,46.1,2321,6.0,251,0.64,47,0.12,0,0,0.0
동두천시,23650,13937,5370,38.83,7582,54.83,766,5.53,92,0.66,17,0.12,0,0,0.0
안산시상록구,223001,166294,92479,55.99,57908,35.06,13139,7.95,1452,0.87,181,0.1,0,0,0.0
안산시단원구,175392,127421,66320,52.42,48467,38.31,10378,8.2,1177,0.93,158,0.12,0,0,0.0
고양시덕양구,198754,152182,75768,50.1,61714,40.81,12010,7.94,1613,1.06,107,0.07,0,0,0.0
고양시일산동구,103355,79752,40640,51.32,31238,39.44,6437,8.12,810,1.02,61,0.07,0,0,0.0
고양시일산서구,148960,119511,62864,52.91,45895,38.63,8717,7.33,1247,1.04,81,0.06,0,0,0.0
과천시,23330,20800,10173,49.19,8393,40.58,1844,8.91,259,1.25,12,0.05,0,0,0.0
의왕시,65238,54298,26708,49.46,22526,41.71,4228,7.83,489,0.9,44,0.08,0,0,0.0
구리시,60991,54439,32136,59.38,17347,32.05,4129,7.62,471,0.87,33,0.06,0,0,0.0
남양주시,234267,170548,80184,47.3,75770,44.7,11909,7.02,1485,0.87,152,0.08,0,0,0.0
오산시,81178,64869,37761,58.63,20254,31.45,5767,8.95,551,0.85,63,0.09,0,0,0.0
화성시갑,146219,106571,54423,51.37,41611,39.28,8916,8.41,873,0.82,106,0.1,0,0,0.0
화성시을,135424,108575,54135,50.16,38713,35.87,13999,12.97,991,0.91,77,0.07,0,0,0.0
시흥시,55731,51081,34060,67.06,12176,23.97,4116,8.1,398,0.78,38,0.07,0,0,0.0
군포시,73781,60952,34363,56.76,20643,34.1,4890,8.07,584,0.96,52,0.08,0,0,0.0
하남시,176234,140026,70737,50.82,55989,40.22,11166,8.02,1188,0.85,99,0.07,0,0,0.0
파주시,109673,83069,44764,54.23,31477,38.13,5545,6.71,688,0.83,57,0.06,0,0,0.0
여주시,74727,53114,21719,41.16,27715,52.52,2852,5.4,424,0.8,57,0.1,0,0,0.0
이천시,48017,41914,22090,53.14,16208,38.99,2894,6.96,309,0.74,67,0.16,0,0,0.0
용인시처인구,149890,115979,59147,51.32,46305,40.18,8724,7.57,930,0.8,127,0.11,0,0,0.0
용인시수지구,159995,123515,48457,39.45,61946,50.43,11175,9.09,1154,0.93,84,0.06,0,0,0.0
용인시기흥구,91838,71402,35206,49.61,29138,41.05,5981,8.42,583,0.82,57,0.08,0,0,0.0
안성시,79271,57302,25959,45.62,26794,47.09,3699,6.5,390,0.68,56,0.09,0,0,0.0
김포시,115048,80380,36258,45.37,36638,45.84,6299,7.88,655,0.81,66,0.08,0,0,0.0
광주시,215264,142370,63937,45.17,67110,47.41,9318,6.58,1062,0.75,111,0.07,0,0,0.0
포천시,68260,50832,22442,44.49,24674,48.91,2944,5.83,330,0.65,52,0.1,0,0,0.0
연천군,19472,16239,7303,45.34,7654,47.52,997,6.19,131,0.81,20,0.12,0,0,0.0
양평군,73778,57053,24645,43.47,28654,50.54,2880,5.08,466,0.82,45,0.07,0,0,0.0
가평군,33398,26876,11717,43.93,13246,49.66,1477,5.53,210,0.78,20,0.07,0,0,0.0
