District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,36711,30427,8337,27.59,18618,61.62,2976,9.84,257,0.85,26,0.08,0,0,0.0
동구,89189,76750,20786,27.26,48773,63.98,6045,7.93,552,0.72,72,0.09,0,0,0.0
서구,77178,60697,11619,19.27,44811,74.31,3476,5.76,333,0.55,56,0.09,0,0,0.0
남구,87971,67705,14679,21.82,47438,70.54,4556,6.77,512,0.76,59,0.08,0,0,0.0
북구,181646,133488,23921,18.03,98168,73.99,9465,7.13,982,0.74,130,0.09,0,0,0.0
수성구,191197,144770,23186,16.09,108344,75.19,11411,7.91,1060,0.73,91,0.06,0,0,0.0
달서구,199449,147079,24973,17.08,109552,74.92,10548,7.21,1042,0.71,93,0.06,0,0,0.0
달성군,103623,77162,17830,23.25,52757,68.81,5467,7.13,545,0.71,68,0.08,0,0,0.0
군위군,21402,17745,2616,14.84,14246,80.83,674,3.82,74,0.41,14,0.07,0,0,0.0
