District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
천안시서북구,70878,46266,19509,42.49,22466,48.93,3423,7.45,461,1.0,48,0.1,0,0,0.0
천안시동남구,50346,42726,22048,51.93,16886,39.77,3072,7.23,397,0.93,54,0.12,0,0,0.0
공주시,36902,32529,17138,53.09,12727,39.43,2147,6.65,227,0.7,38,0.11,0,0,0.0
보령시,20448,19935,10660,53.98,7762,39.31,1141,5.77,156,0.79,26,0.13,0,0,0.0
아산시,79565,63339,33810,53.76,24040,38.22,4391,6.98,598,0.95,50,0.07,0,0,0.0
서산시,62707,53525,29919,56.29,18751,35.28,3910,7.35,501,0.94,62,0.11,0,0,0.0
태안군,18219,14674,6331,43.51,7491,51.48,613,4.21,91,0.62,23,0.15,0,0,0.0
금산군,9486,8198,4098,50.33,3605,44.27,382,4.69,45,0.55,12,0.14,0,0,0.0
논산시,18250,15583,8083,52.3,6449,41.73,777,5.02,126,0.81,18,0.11,0,0,0.0
계룡시,13336,12378,7214,58.75,3969,32.32,980,7.98,107,0.87,8,0.06,0,0,0.0
당진시,95442,74227,39898,54.1,28300,38.37,4790,6.49,678,0.91,74,0.1,0,0,0.0
부여군,28908,24259,10921,45.35,11742,48.76,1215,5.04,180,0.74,19,0.07,0,0,0.0
서천군,18900,16853,9008,53.86,6777,40.52,797,4.76,115,0.68,27,0.16,0,0,0.0
홍성군,19645,15563,6738,43.62,7729,50.03,757,4.9,200,1.29,23,0.14,0,0,0.0
청양군,13880,11658,5081,43.98,5752,49.79,622,5.38,76,0.65,20,0.17,0,0,0.0
예산군,35117,28332,11308,40.18,15044,53.46,1550,5.5,207,0.73,29,0.1,0,0,0.0
