District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
서울특별시,5385133,4284252,2009091,47.24,1799680,42.31,387699,9.11,52502,1.23,3653,0.08,0,0,0.0
부산광역시,2468269,1885386,719974,38.43,1006312,53.72,130240,6.95,14856,0.79,1691,0.09,0,0,0.0
대구광역시,1653786,1270416,256346,20.3,901700,71.41,94356,7.47,9124,0.72,1016,0.08,0,0,0.0
인천광역시,1562982,1190685,601240,50.83,474450,40.11,94113,7.95,11645,0.98,1167,0.09,0,0,0.0
광주광역시,991706,802123,677730,84.95,67816,8.5,44599,5.59,6892,0.86,741,0.09,0,0,0.0
대전광역시,965986,753794,363201,48.56,309895,41.43,66525,8.89,7442,0.99,839,0.11,0,0,0.0
울산광역시,789232,621697,257265,41.67,303910,49.22,48043,7.78,7399,1.19,721,0.11,0,0,0.0
세종특별자치시,210258,174842,97926,56.41,57294,33.0,16105,9.27,2101,1.21,156,0.08,0,0,0.0
경기도,8589910,6590927,3283464,50.14,2658212,40.59,541981,8.27,58874,0.89,5769,0.08,0,0,0.0
강원특별자치도,1078934,844132,369356,44.08,399610,47.69,60615,7.23,7389,0.88,922,0.11,0,0,0.0
충청북도,1173514,891060,412935,46.68,396774,44.85,65596,7.41,8215,0.92,1024,0.11,0,0,0.0
충청남도,1593191,1189617,554746,46.97,528999,44.79,85171,7.21,10792,0.91,1262,0.1,0,0,0.0
전북특별자치도,1257053,1025699,849335,83.32,110944,10.88,49329,4.83,8175,0.8,1463,0.14,0,0,0.0
전라남도,1280252,1027648,877562,85.95,92485,9.05,41723,4.08,7351,0.72,1791,0.17,0,0,0.0
경상북도,1860244,1465563,368126,25.31,984505,67.68,89158,6.13,11191,0.76,1471,0.1,0,0,0.0
경상남도,2090094,1619560,612385,38.12,870676,54.2,105705,6.58,15673,0.97,1915,0.11,0,0,0.0
제주특별자치도,331069,258041,147212,57.53,85131,33.27,19641,7.67,3558,1.39,302,0.11,0,0,0.0
