District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
동구,164923,122650,57197,47.0,53807,44.22,9428,7.74,1069,0.87,176,0.14,0,0,0.0
중구,155059,118008,53657,45.81,53903,46.02,8386,7.16,1034,0.88,140,0.11,0,0,0.0
서구,230743,185553,93176,50.62,72192,39.22,16620,9.02,1898,1.03,172,0.09,0,0,0.0
유성구,168287,141948,74434,52.82,49113,34.85,15689,11.13,1558,1.1,121,0.08,0,0,0.0
대덕구,89025,71146,36236,51.3,28184,39.9,5453,7.72,666,0.94,85,0.12,0,0,0.0
