District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
동구,63116,48449,38643,80.26,5738,11.91,3255,6.76,465,0.96,43,0.08,0,0,0.0
서구,135087,114770,98719,86.42,8770,7.67,5788,5.06,850,0.74,92,0.08,0,0,0.0
남구,118264,98062,83968,86.01,8038,8.23,4786,4.9,740,0.75,84,0.08,0,0,0.0
북구,239500,185826,154798,83.76,16964,9.17,11098,6.0,1752,0.94,188,0.1,0,0,0.0
광산구,279408,227171,193379,85.62,17213,7.62,12994,5.75,2022,0.89,232,0.1,0,0,0.0
