District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
서울특별시,7225662,5604248,2528737,45.46,2441702,43.89,517963,9.31,68793,1.23,4947,0.08,0,0,0.0
부산광역시,2792127,2173548,858087,39.75,1121687,51.96,159436,7.38,17450,0.8,2025,0.09,0,0,0.0
대구광역시,1958289,1552276,347868,22.55,1059706,68.7,122026,7.91,11559,0.74,1257,0.08,0,0,0.0
인천광역시,2277965,1723390,859977,50.24,690576,40.34,142031,8.29,17244,1.0,1719,0.1,0,0,0.0
광주광역시,1102245,909934,767679,84.84,74504,8.23,53931,5.96,7905,0.87,836,0.09,0,0,0.0
대전광역시,1169422,905154,428971,47.77,375427,41.8,83505,9.29,9055,1.0,1018,0.11,0,0,0.0
울산광역시,934509,747950,315820,42.54,353180,47.57,63177,8.51,9299,1.25,899,0.12,0,0,0.0
세종특별자치시,273391,221022,120268,54.81,76005,34.63,20356,9.27,2598,1.18,193,0.08,0,0,0.0
경기도,10485072,8127994,4119713,51.01,3196598,39.58,678803,8.4,72688,0.9,7146,0.08,0,0,0.0
강원특별자치도,1271349,979533,424382,43.64,466065,47.92,72034,7.4,8837,0.9,1074,0.11,0,0,0.0
충청북도,1324601,1011218,470851,46.91,443062,44.14,79092,7.88,9505,0.94,1162,0.11,0,0,0.0
충청남도,1779415,1338655,627410,47.22,584642,44.0,102853,7.74,12307,0.92,1439,0.1,0,0,0.0
전북특별자치도,1408621,1143818,941390,82.83,126762,11.15,57615,5.06,9161,0.8,1597,0.14,0,0,0.0
전라남도,1527516,1271444,1085789,85.95,108383,8.58,57814,4.57,9111,0.72,2060,0.16,0,0,0.0
경상북도,2195790,1729543,436546,25.43,1150896,67.05,113500,6.61,13698,0.79,1765,0.1,0,0,0.0
경상남도,2537497,1963991,745650,38.28,1042233,53.51,137877,7.07,19505,1.0,2390,0.12,0,0,0.0
제주특별자치도,522005,385918,210758,55.1,133596,34.92,32043,8.37,5633,1.47,465,0.12,0,0,0.0
