District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
수원시장안구,213168,168033,82782,49.61,66797,40.03,15544,9.31,1578,0.94,161,0.09,0,0,0.0
수원시권선구,278858,211442,106395,50.67,82904,39.48,18473,8.79,2000,0.95,181,0.08,0,0,0.0
수원시팔달구,172558,133880,64971,48.9,52733,39.69,13752,10.35,1241,0.93,149,0.11,0,0,0.0
수원시영통구,267419,216930,103004,47.81,84313,39.14,25729,11.94,2184,1.01,180,0.08,0,0,0.0
성남시수정구,183129,141047,74100,52.88,53533,38.2,11347,8.09,1046,0.74,92,0.06,0,0,0.0
성남시중원구,160025,122669,68159,55.93,44055,36.15,8611,7.06,916,0.75,121,0.09,0,0,0.0
성남시분당구,359305,295203,126210,43.01,136981,46.68,27346,9.31,2704,0.92,184,0.06,0,0,0.0
의정부시,364202,273052,143801,53.01,104478,38.51,20187,7.44,2530,0.93,238,0.08,0,0,0.0
안양시만안구,186907,146792,73346,50.3,59163,40.58,11908,8.16,1263,0.86,112,0.07,0,0,0.0
안양시동안구,250694,207157,101083,49.12,83102,40.38,19422,9.43,2009,0.97,161,0.07,0,0,0.0
부천시원미구,309098,240861,125515,52.47,91844,38.4,19238,8.04,2378,0.99,200,0.08,0,0,0.0
부천시소사구,162410,125005,63781,51.36,50340,40.53,8691,6.99,1259,1.01,113,0.09,0,0,0.0
부천시오정구,136399,104812,59047,56.69,36313,34.86,7710,7.4,955,0.91,132,0.12,0,0,0.0
광명시,221555,181004,93909,52.2,69053,38.38,14916,8.29,1868,1.03,135,0.07,0,0,0.0
평택시,465089,341649,170987,50.38,135735,39.99,29503,8.69,2817,0.83,340,0.1,0,0,0.0
양주시,209837,155962,82534,53.26,60260,38.88,10848,7.0,1150,0.74,160,0.1,0,0,0.0
동두천시,76927,56479,28433,50.68,23681,42.21,3515,6.26,397,0.7,71,0.12,0,0,0.0
안산시상록구,287897,219638,120273,55.16,76645,35.15,18829,8.63,2022,0.92,264,0.12,0,0,0.0
안산시단원구,234021,175285,94095,54.05,63717,36.6,14428,8.28,1622,0.93,214,0.12,0,0,0.0
고양시덕양구,378045,294864,154087,52.59,111924,38.2,23431,7.99,3271,1.11,229,0.07,0,0,0.0
고양시일산동구,226634,172532,85487,49.88,70450,41.1,13634,7.95,1682,0.98,125,0.07,0,0,0.0
고양시일산서구,216875,169448,85515,50.76,68422,40.61,12646,7.5,1732,1.02,130,0.07,0,0,0.0
과천시,68790,58928,24871,42.49,26993,46.11,5843,9.98,779,1.33,46,0.07,0,0,0.0
의왕시,133116,111014,55305,50.13,43930,39.82,9920,8.99,1061,0.96,104,0.09,0,0,0.0
구리시,162776,130757,66685,51.34,50865,39.16,11064,8.51,1166,0.89,96,0.07,0,0,0.0
남양주시,517260,384089,195468,51.19,155964,40.84,26809,7.02,3230,0.84,332,0.08,0,0,0.0
오산시,205448,155805,84959,54.92,53092,34.32,15019,9.7,1444,0.93,168,0.1,0,0,0.0
화성시갑,319621,244088,130576,53.82,88913,36.65,20934,8.62,1933,0.79,221,0.09,0,0,0.0
화성시을,347519,289895,151555,52.6,93407,32.42,40321,13.99,2606,0.9,184,0.06,0,0,0.0
시흥시,353120,271310,154295,57.22,91147,33.8,21603,8.01,2320,0.86,261,0.09,0,0,0.0
군포시,201257,160921,82402,51.54,62429,39.05,13312,8.32,1586,0.99,136,0.08,0,0,0.0
하남시,272865,221808,111702,50.68,87145,39.54,19452,8.82,1927,0.87,156,0.07,0,0,0.0
파주시,382952,290567,157357,54.49,107856,37.35,20665,7.15,2651,0.91,223,0.07,0,0,0.0
여주시,101401,77007,34563,45.19,36480,47.7,4719,6.17,624,0.81,89,0.11,0,0,0.0
이천시,176507,130895,61505,47.32,57291,44.08,9984,7.68,1013,0.77,174,0.13,0,0,0.0
용인시처인구,241014,185635,94272,51.12,72736,39.44,15623,8.47,1520,0.82,227,0.12,0,0,0.0
용인시수지구,274500,224387,102283,45.83,99023,44.37,19681,8.81,2024,0.9,133,0.05,0,0,0.0
용인시기흥구,314963,249882,121959,49.09,103843,41.79,20392,8.2,2065,0.83,170,0.06,0,0,0.0
안성시,156928,114602,56975,50.06,48042,42.21,7784,6.83,878,0.77,123,0.1,0,0,0.0
김포시,232120,162712,73067,45.18,74516,46.07,12586,7.78,1401,0.86,141,0.08,0,0,0.0
광주시,331909,255704,139584,54.9,94925,37.33,17673,6.95,1859,0.73,199,0.07,0,0,0.0
포천시,127307,95668,45328,47.76,42497,44.78,6300,6.63,665,0.7,110,0.11,0,0,0.0
연천군,36974,28660,12152,42.77,13973,49.18,2011,7.07,237,0.83,37,0.13,0,0,0.0
양평군,112680,88712,38679,43.88,43611,49.47,5004,5.67,768,0.87,79,0.08,0,0,0.0
가평군,56266,43652,17945,41.42,22378,51.66,2619,6.04,329,0.75,45,0.1,0,0,0.0
