District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
제주시,368249,271977,151577,56.2,90949,33.72,22730,8.42,4085,1.51,322,0.11,0,0,0.0
서귀포시,155343,114891,59610,52.39,43066,37.85,9387,8.25,1565,1.37,144,0.12,0,0,0.0
