District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
종로구,45835,39302,23368,59.83,11962,30.62,3079,7.88,609,1.55,36,0.09,0,0,0.0
중구,58336,45056,21161,47.37,18836,42.17,4080,9.13,558,1.24,30,0.06,0,0,0.0
용산구,130107,101378,42797,42.54,46934,46.65,9305,9.24,1499,1.49,68,0.06,0,0,0.0
성동구,123583,103537,51732,50.33,40138,39.05,9698,9.43,1119,1.08,94,0.09,0,0,0.0
광진구,125317,84516,29892,35.68,43818,52.31,8920,10.64,1043,1.24,91,0.1,0,0,0.0
동대문구,30164,26252,14680,56.37,8638,33.17,2416,9.27,286,1.09,21,0.08,0,0,0.0
중랑구,134772,109372,58082,53.45,41107,37.83,8320,7.65,1036,0.95,101,0.09,0,0,0.0
성북구,145298,121251,66477,55.23,41344,34.35,10769,8.94,1678,1.39,87,0.07,0,0,0.0
강북구,16391,14657,9379,64.41,3925,26.95,1077,7.39,158,1.08,21,0.14,0,0,0.0
도봉구,169778,114999,45287,39.67,58163,50.95,9291,8.13,1297,1.13,108,0.09,0,0,0.0
노원구,83121,75625,46027,61.24,21733,28.91,6550,8.71,781,1.03,58,0.07,0,0,0.0
은평구,63741,52754,29345,56.1,18193,34.78,3974,7.59,736,1.4,55,0.1,0,0,0.0
서대문구,126825,98665,49193,50.23,38702,39.52,8330,8.5,1613,1.64,88,0.08,0,0,0.0
마포구,138951,118035,61624,52.62,41604,35.53,11511,9.83,2275,1.94,80,0.06,0,0,0.0
양천구,200003,161467,76863,47.89,68481,42.66,13240,8.24,1757,1.09,158,0.09,0,0,0.0
강서구,95106,86949,51122,59.23,26616,30.84,7511,8.7,953,1.1,95,0.11,0,0,0.0
구로구,150810,120535,60258,50.35,48748,40.73,9236,7.71,1317,1.1,113,0.09,0,0,0.0
금천구,66438,53691,29311,55.05,18170,34.12,5119,9.61,577,1.08,61,0.11,0,0,0.0
영등포구,94397,76028,36223,48.03,31254,41.44,6985,9.26,886,1.17,66,0.08,0,0,0.0
동작구,52630,42787,20764,48.91,16976,39.99,4150,9.77,515,1.21,40,0.09,0,0,0.0
관악구,58255,54105,33021,61.6,14189,26.47,5569,10.39,767,1.43,51,0.09,0,0,0.0
서초구,126791,107198,39185,36.76,56235,52.76,9906,9.29,1200,1.12,57,0.05,0,0,0.0
강남구,148914,123505,45442,37.01,64290,52.36,11832,9.63,1153,0.93,65,0.05,0,0,0.0
송파구,250736,198307,79777,40.51,96586,49.04,18394,9.34,1996,1.01,166,0.08,0,0,0.0
강동구,105263,85897,37721,44.22,38887,45.58,7768,9.1,856,1.0,69,0.08,0,0,0.0
