District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,98304,79723,33360,42.14,39105,49.4,5710,7.21,891,1.12,88,0.11,0,0,0.0
남구,31969,27950,12310,44.36,12966,46.73,2137,7.7,299,1.07,32,0.11,0,0,0.0
동구,24540,22702,13190,58.47,7511,33.29,1475,6.53,353,1.56,29,0.12,0,0,0.0
북구,52690,42584,20369,48.15,17494,41.35,3691,8.72,695,1.64,48,0.11,0,0,0.0
울주군,83090,68444,28564,42.04,33661,49.55,4904,7.21,710,1.04,93,0.13,0,0,0.0
