District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
창원시의창구,177334,141377,53817,38.36,72804,51.89,11854,8.45,1647,1.17,160,0.11,0,0,0.0
창원시성산구,171099,135154,52120,38.85,67811,50.54,11980,8.93,2097,1.56,139,0.1,0,0,0.0
창원시마산합포구,154085,121515,40654,33.71,70463,58.43,8249,6.84,1081,0.89,127,0.1,0,0,0.0
창원시마산회원구,142502,111344,37252,33.7,64928,58.73,7148,6.46,1068,0.96,143,0.12,0,0,0.0
창원시진해구,139999,106362,42288,40.04,54590,51.69,7591,7.18,1022,0.96,113,0.1,0,0,0.0
진주시,89109,74138,26903,36.6,41146,55.97,4759,6.47,606,0.82,89,0.12,0,0,0.0
통영시,95055,72002,24639,34.49,42396,59.35,3771,5.27,527,0.73,92,0.12,0,0,0.0
고성군,43287,33580,10744,32.3,20573,61.85,1662,4.99,254,0.76,27,0.08,0,0,0.0
사천시,94356,73114,25242,34.84,41495,57.27,4949,6.83,662,0.91,103,0.14,0,0,0.0
김해시,242585,178666,79806,45.0,82172,46.34,13314,7.5,1807,1.01,213,0.12,0,0,0.0
밀양시,90650,69757,23125,33.42,41676,60.24,3783,5.46,508,0.73,87,0.12,0,0,0.0
거제시,178927,133282,62796,47.47,58922,44.54,8918,6.74,1506,1.13,142,0.1,0,0,0.0
의령군,23294,18214,5421,30.14,11559,64.26,832,4.62,140,0.77,34,0.18,0,0,0.0
함안군,51990,40601,13802,34.27,23755,58.99,2275,5.65,371,0.92,60,0.14,0,0,0.0
창녕군,50638,38724,11013,28.69,25310,65.93,1760,4.58,263,0.68,40,0.1,0,0,0.0
양산시,275497,210244,91523,43.84,100500,48.14,14571,6.97,1948,0.93,219,0.1,0,0,0.0
하동군,35423,28636,10592,37.43,15959,56.4,1442,5.09,255,0.9,44,0.15,0,0,0.0
남해군,36504,28758,9931,34.93,16808,59.13,1377,4.84,269,0.94,39,0.13,0,0,0.0
함양군,32702,25848,8489,33.2,15503,60.63,1321,5.16,219,0.85,36,0.14,0,0,0.0
산청군,30968,24668,7478,30.63,15548,63.69,1130,4.62,219,0.89,36,0.14,0,0,0.0
거창군,52316,41373,12623,30.84,25259,61.72,2640,6.45,332,0.81,65,0.15,0,0,0.0
합천군,37329,28935,7001,24.5,20132,70.47,1188,4.15,200,0.7,46,0.16,0,0,0.0
