District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,142639,112967,44178,39.37,58722,52.33,7956,7.09,1210,1.07,132,0.11,0,0,0.0
남구,154140,126250,50595,40.34,63375,50.53,10066,8.02,1239,0.98,131,0.1,0,0,0.0
동구,37955,32518,17656,54.66,11969,37.05,2132,6.6,498,1.54,42,0.13,0,0,0.0
북구,89108,70601,33356,47.56,29764,42.43,5835,8.31,1099,1.56,80,0.11,0,0,0.0
울주군,144100,113550,46056,40.85,57007,50.56,8352,7.4,1173,1.04,149,0.13,0,0,0.0
